"16","Find the value of: \[ \ \frac{2}{9} + \frac{3}{27} \]","$\frac{1}{3}$","$\frac{1}{27}$","$\frac{5}{27}$",,"choice_a","2014-10-16 11:00:43","2014-10-16 11:37:58","module","Mathematics","1","Fractions",NULL,NULL,NULL,NULL,NULL,"\[ \begin{aligned}   \frac{2}{9} + \frac{3}{27} \\  = \frac{2 \times 3 + 3}{27} \\  = \frac{9}{27} \\  = \frac{1}{3}  \end{aligned} \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"17","Find the value of y: \[ \ \frac{4}{7} - y = \frac{5}{21} \]","$\frac{1}{7}$","$\frac{1}{3}$","$\frac{1}{14}$",,"choice_b","2014-10-16 11:12:58","2014-10-16 11:39:34","module","Mathematics","2","Fractions",NULL,NULL,NULL,NULL,NULL,"\[ \begin{aligned} \frac{4}{7} -y  = \frac{5}{21} \\ \frac{4}{7} - \frac{5}{21}  = y \\ \frac{4 \times 3 - 5}{21}  = y \\ \frac{7}{21}  = y \\ \frac{1}{3}  = y \end{aligned}  \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"18","Find the value of: \[ \ \frac{2}{7} \div 1\frac{1}{2} \]","$\frac{2}{21}$","$\frac{4}{21}$","$\frac{3}{21}$",,"choice_b","2014-10-16 11:14:34","2014-10-16 11:40:51","module","Mathematics","3","Fractions",NULL,NULL,NULL,NULL,NULL,"\[ \begin{aligned}  = \frac{2}{7} \div \frac{3}{2} \\  = \frac{2}{7} \times \frac{2}{3} \\ = \frac{2 \times 2}{7 \times  3} \\ = \frac{4}{21} \\ \end{aligned} \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19","Find the value of x such that: \[ \ x \times \frac{72}{104} = \frac{6}{13} \]","$\frac{1}{9}$","$\frac{12}{9}$","$\frac{6}{9}$",,"choice_c","2014-10-16 11:15:47","2014-10-16 11:46:53","module","Mathematics","4","Fractions",NULL,NULL,NULL,NULL,NULL,"\[ \begin{aligned}  x \times \frac{72}{104}  = \frac{6}{13} \\ x  = \frac{104}{72} \times \frac{6}{13} \\ \\ x  = \frac{8}{12} \times \frac{1}{1} \\ x = \frac{8}{12} \\ x  = \frac{2}{3} \\ x  = \frac{6}{9} \\ \end{aligned} \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"20","The price of gasoline has dropped $\frac{2}{9}^{th}$ since the last month. If the price last month was $\$180$ per barrel, the current price per barrel is $\$140$.","$TRUE$","$FALSE$",,,"choice_a","2014-10-16 11:17:00","2014-10-16 11:50:00","module","Mathematics","5","Fractions",NULL,NULL,NULL,NULL,NULL,"\[ \begin{aligned}  Current\ Price = 180 - \frac{2}{9} \times 180 \\ = 180 - 40\\ = $140 \end{aligned} \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"21","Compared to last year, we had $\frac{7}{12}$ times more rain this year. If 156mm fell last year, then we had 85mm more rain this year.","$True$","$False$",,,"choice_b","2014-10-16 11:18:23","2014-10-16 11:48:54","module","Mathematics","6","Fractions",NULL,NULL,NULL,NULL,NULL,"\[ \begin{aligned}  More\ rain(this\ year) = \frac{7}{12} \times 156 \\ = 91mm \end{aligned} \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"22","Find the value of: \[ \ (64)^\frac{2}{3} \]","$4096$","$16$","$48$",,"choice_b","2014-10-16 12:03:03","2014-10-16 12:24:09","module","Mathematics","1","Indices",NULL,NULL,NULL,NULL,NULL,"\[\begin{aligned}  = ((2)^6)^{\frac{2}{3}} \\ = (2)^{6 \times \frac{2}{3}} \\ = 2^{12} = 4096 \end{aligned} \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"23","Find the value of:  \[ \ 5^{-3} \]","$\frac{1}{125}$","$\frac{1}{5}$","$-125$",,"choice_a","2014-10-16 12:04:54","2014-10-16 12:23:52","module","Mathematics","2","Indices",NULL,NULL,NULL,NULL,NULL,"\[\begin{aligned} = 5^{-3} \\ = \frac{1}{5^3}\\ = \frac{1}{125}\\ \end{aligned} \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"24","Find the value of: \[ \ 144^\frac{1}{2} \]","$20736$","$72$","$12$",,"choice_c","2014-10-16 12:06:13","2014-10-16 12:23:34","module","Mathematics","3","Indices",NULL,NULL,NULL,NULL,NULL,"\[\begin{aligned} = \sqrt{144}\\ = 12 \end{aligned} \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"25","Find the value of: \[ \ 36^\frac{-1}{2} \]","$-6$","$\frac{-1}{32}$","$\frac{1}{6}$",,"choice_c","2014-10-16 12:07:49","2014-10-16 12:23:16","module","Mathematics","4","Indices",NULL,NULL,NULL,NULL,NULL,"\[\begin{aligned} = (6^2)^{\frac{-1}{2}}\\  = 6^{-1} \\ = \frac{1}{6} \end{aligned} \]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
